Thời gian,Doanh Thu Bán hàng,Marketing,Chi Phí Bán Hàng,Lợi Nhuận Thuần,Giá Bán Trung Bình,Giá Vốn Bán Hàng
Q1-2007,40907,3273,9488,203,4800,28084
Q2-2007,83186,6655,17361,6938,4800,54195
Q3-2007,104760,8381,13288,2019,4800,84883
Q4-2007,94975,7598,10316,3046,4800,78116
Q1-2008,64914,5193,10588,-858,4800,52870
Q2-2008,136189,10895,23814,4754,4800,98095
Q3-2008,112977,9038,26657,2539,4800,77336
Q4-2008,35763,2861,15844,-41648,4800,56793
Q1-2009,56859,4549,11729,379,4800,41044
Q2-2009,99774,7982,20097,8440,4800,66010
Q3-2009,56609,4529,3807,613,4800,49058
Q4-2009,65138,5211,10267,3794,4800,45896
Q1-2010,64729,5178,10908,468,4800,49190
Q2-2010,100217,8017,14361,5548,4800,78467
Q3-2010,66285,5303,10155,-5802,4800,57332
Q4-2010,94479,7558,19195,-15926,4800,85303
Q1-2011,63049,5044,10445,-1691,4800,51072
Q2-2011,84181,6734,9948,763,4800,64911
Q3-2011,56622,4530,7289,-83,4800,46478
Q4-2011,72227,5778,9729,646,4800,56939
Q1-2012,51783,4143,6679,-1249,4800,42060
Q2-2012,80802,6464,10409,-1384,4800,66143
Q3-2012,55512,4441,8074,-118,4800,43757
Q4-2012,75412,6033,12244,-9677,4800,67776
Q1- 2013,40744,3260,6108,-1829,4800,32979
Q2- 2013,88697,7096,17422,3045,4800,62655
Q3- 2013,66262,5301,14549,733,4800,46567
Q4- 2013,42171,3374,7764,1069,4800,30117
Q1- 2014,38937,3115,8100,-1827,4800,39099
Q2- 2014,67054,5364,10326,5322,4800,47691
Q3- 2014,49880,3990,10999,1543,4800,33997
Q4- 2014,66006,5280,15376,1068,4800,45665
Q1- 2015,39507,2370,8103,-1531,4800,44587
Q2- 2015,73710,4423,10061,1896,4800,50295
Q3-2015,67944,4077,15502,2013,4800,55264
Q4-2015,86643,5199,23014,286,4800,56968
Q1- 2016,81871,4912,17857,727,4800,58983
Q2- 2016,47108,2826,7558,547,4800,33508
Q3-2016,46123,2767,11318,624,4800,28290
Q4-2016,51764,3106,3518,313,4800,40659
Q1- 2017,35505,2485,7534,301,4875,23846
Q2- 2017,45100,3157,7566,22,4875,31373
Q3-2017,42742,2992,5625,-22,4875,32510
Q4-2017,38636,2705,6731,-761,4875,27996
Q1- 2018,29366,2056,6458,104,4875,19425
Q2- 2018,58076,4065,16609,-1064,4875,37183
Q3-2018,46092,3226,8544,250,4875,32683
Q4-2018,61042,4273,6320,12341,4875,37286
Q1- 2019,40409,2829,5728,167,4875,30935
Q2- 2019,51105,3577,7405,972,4875,37316
Q3-2019,30374,2126,6790,258,4875,20472
Q4-2019,46319,3242,5393,-4384,4875,42489
Q1- 2020,38221,2675,7816,-4274,4875,30176
Q2- 2020,54035,3782,2588,-1511,4875,43469
Q3-2020,57630,4034,2242,833,4875,42163
Q4-2020,46600,3262,3572,5507,4875,32928
