Thời gian,Doanh Thu Bán hàng,Marketing,Chi Phí Bán Hàng,Lợi Nhuận Thuần,Giá Bán Trung Bình,Giá Vốn Bán Hàng
Q1-2007,1380000,193200,210,273,9968,989
Q2-2007,1734000,242760,231,221,9968,1251
Q3-2007,1837000,257180,270,173,9968,1345
Q4-2007,1870000,261800,263,193,9968,1369
Q1-2008,1808000,253120,204,334,9968,1254
Q2-2008,2064000,288960,234,440,9968,1332
Q3-2008,2115000,296100,292,354,9968,1424
Q4-2008,2252000,315280,340,225,9968,1593
Q1-2009,2068000,289520,217,439,9968,1398
Q2-2009,2675000,374500,312,558,9968,1670
Q3-2009,2998000,419720,333,839,9968,1857
Q4-2009,2872000,402080,383,649,9968,1810
Q1-2010,3250000,455000,242,910,9968,2110
Q2-2010,3986000,558040,333,1035,9968,2622
Q3-2010,4376000,612640,405,957,9968,2980
Q4-2010,4140000,579600,456,740,9968,2868
Q1-2011,4535000,634900,342,1111,9968,3026
Q2-2011,5420000,758800,419,1284,9968,3718
Q3-2011,5696000,797440,504,1202,9968,4023
Q4-2011,5975000,836500,546,1152,9968,4271
Q1-2012,5876000,822640,418,1426,9968,4076
Q2-2012,7010000,981400,625,1796,9968,4589
Q3-2012,6618000,926520,601,1652,9968,4277
Q4-2012,7055000,987700,700,1753,9968,4541
Q1- 2013,6676399,934696,568,1838,9968,4220
Q2- 2013,8070453,1129863,879,2191,9968,4948
Q3- 2013,8027718,1123880,876,2012,9968,5093
Q4- 2013,8174033,1144365,953,1671,9968,5505
Q1- 2014,7678146,1074940,821,1692,9968,5114
Q2- 2014,9232342,1292528,1158,1906,9968,6067
Q3- 2014,8731443,1222402,1280,1693,9968,5703
Q4- 2014,9334997,1306900,1437,2018,9968,5785
Q1- 2015,8716036,1220245,1150,1867,9968,5607
Q2- 2015,10500111,1470015,1678,2621,9968,6113
Q3-2015,10549326,1476906,1666,2555,9968,6199
Q4-2015,11098562,1553799,1754,2229,9968,6682
Q1- 2016,10369870,1451782,1665,2593,9950,5993
Q2- 2016,12449130,1742878,1939,3373,9950,7076
Q3-2016,12204690,1708657,1904,3048,9950,7119
Q4-2016,11807611,1653066,3192,2146,9950,6327
Q1- 2017,12049369,1686912,2303,3470,9950,6230
Q2- 2017,13348261,1868757,3054,3443,9950,6807
Q3-2017,13293078,1861031,2981,3228,9950,7023
Q4-2017,12350368,1729052,3200,2084,9950,6746
Q1- 2018,12120502,1696870,2319,3113,9950,6634
Q2- 2018,13702481,1918347,3176,3173,9950,7234
Q3-2018,13735260,1922936,3411,2954,9950,7242
Q4-2018,13003707,1820519,3361,2637,9950,6841
Q1- 2019,13189300,1846502,2670,3341,9950,7034
Q2- 2019,14598961,2043854,3330,3517,9950,7585
Q3-2019,14290900,2000726,3292,3265,9950,7568
Q4-2019,14238961,1993455,3701,2674,9950,7559
Q1- 2020,14153100,1981434,3004,1838,9950,7547
Q2- 2020,15495234,2169333,3383,2191,9950,8357
Q3-2020,15563158,2178842,3284,2012,9950,8296
Q4-2020,14424795,2019471,3776,1671,9950,7767
